FIPS,Data
5045,50316
5047,45528
5047,36127
5047,39472
5049,37678
5049,34475
5049,36051
5051,46821
5051,41513
5051,41672
5053,54876
5053,58126
5053,49968
5055,45498
5055,43051
5055,45566
5057,42243
5057,40233
5057,38701
5059,46554
5059,41858
5059,40626
5061,42356
5061,38933
5061,34851
5063,47110
5063,39013
5063,39945
5065,37886
5065,35686
5065,39135
5067,37017
5067,n/a
5067,32783
5069,46235
5069,40560
5069,37630
5071,41192
5071,34469
5071,35758
5073,36648
5073,n/a
5073,32500
5075,40054
5075,34126
5075,37603
5077,30270
5077,n/a
5077,27901
5079,43696
5079,40265
5079,n/a
5081,43416
5081,37650
5081,36963
5083,41832
5083,42309
5083,37982
5085,59499
5085,57189
5085,57290
5087,41170
5087,41127
5087,42894
5089,39461
5089,38431
5089,36113
5091,45680
5091,45415
5091,41862
5093,40556
5093,37640
5093,36417
5095,33402
5095,33761
5095,31584
5097,41946
5097,40229
5097,35252
5099,39793
5099,n/a
5099,36995
5101,36537
5101,30918
5101,38134
5103,43304
5103,35220
5103,32136
5105,45875
5105,49164
5105,46168
5107,32810
5107,30828
5107,26652
5109,40874
5109,36963
5109,36893
5111,39196
5111,36356
5111,37487
5113,37163
5113,36646
5113,33870
5115,47330
5115,44890
5115,40668
5117,44262
5117,39825
5117,41244
5119,56261
5119,50839
5119,48850
5121,40709
5121,34052
5121,35930
5123,38588
5123,30443
5123,33102
5125,62827
5125,58028
5125,58985
5127,38981
5127,41032
5127,37396
5129,31579
5129,32462
5129,36716
5131,50016
5131,44485
5131,40932
5133,44489
5133,38740
5133,43675
5135,37121
5135,35080
5135,31792
5137,32778
5137,34230
5137,33091
5139,43994
5139,41085
5139,41106
5141,39855
5141,36010
5141,34428
5143,51200
5143,47663
5143,47452
5145,47528
5145,44143
5145,44074
5147,32615
5147,30631
5147,30097
5149,42677
5149,41245
5149,39696
6001,82570
6001,78176
6001,85743
6003,61802
6003,n/a
6003,63438
6005,62400
6005,61697
6005,60636
6007,47116
6007,48640
6007,46516
6009,60544
6009,61937
6009,54800
6011,51747
6011,54100
6011,56481
6013,93977
6013,88318
6013,88456
6015,43748
6015,40695
6015,41287
6017,75984
6017,78870
6017,74885
6019,51250
6019,52313
6019,48730
6021,47386
6021,48532
6021,46260
6023,46086
6023,45169
6023,43718
6025,47036
6025,43587
6025,44779
6027,51665
6027,50486
6027,51500
6029,52314
6029,53056
6029,50826
6031,52761
6031,54853
6031,49742
6033,43726
6033,44495
6033,40446
6035,53589
6035,56693
6035,54083
6037,62266
6037,62506
6037,61015
6039,53554
6039,51873
6039,48210
6041,105239
6041,100580
6041,104703
6043,51104
6043,55320
6043,51385
6045,53126
6045,49304
6045,46528
6047,52441
6047,49400
6047,46338
6049,40619
6049,38971
6049,39296
6051,66403
6051,62067
6051,60595
6053,71292
6053,66782
6053,63249
6055,76359
6055,75928
6055,79637
6057,67690
6057,64359
6057,60610
6059,86811
6059,83765
6059,81851
6061,84915
6061,83881
6061,80488
6063,53650
6063,49576
6063,50266
6065,63296
6065,65088
6065,60807
6067,64667
6067,63591
6067,60239
6069,84817
6069,74105
6069,80760
6071,62084
6071,62921
6071,57156
6073,69465
6073,71061
6073,70588
6075,81500
6075,80339
6075,96265
6077,60927
6077,61227
6077,57813
6079,62619
6079,64634
6079,67175
6081,104520
6081,96501
6081,105667
6083,68890
6083,67691
6083,68023
6085,109709
6085,97855
6085,106761
6087,79695
6087,73522
6087,73663
6089,50674
6089,49512
6089,47258
6091,52876
6091,n/a
6091,n/a
6093,43583
6093,41667
6093,40884
6095,79844
6095,77078
6095,72950
6097,78334
6097,71292
6097,71769
6099,59184
6099,57568
6099,54260
6101,56637
6101,57399
6101,54347
6103,46056
6103,42970
6103,42512
6105,40898
6105,43632
6105,n/a
6107,50155
6107,49408
6107,44871
6109,57153
6109,53476
6109,54325
6111,88060
6111,84896
6111,81972
6113,60170
6113,64310
6113,61621
6115,44955
6115,52738
6115,51776
8001,69843
8001,61593
8001,64087
8003,43460
8003,40489
8003,36315
8005,79063
8005,66160
8005,69553
8007,55937
8007,63173
8007,48016
8009,41471
8009,40581
8009,35898
8011,41509
8011,41026
8011,32500
8013,82444
8013,73055
8013,75669
8014,n/a
8014,85169
8014,85639
8015,50723
8015,48382
8015,53762
8017,54687
8017,n/a
8017,54907
8019,75265
8019,68083
8019,68534
8021,36519
8021,37888
8021,35657
8023,28825
8023,n/a
8023,n/a
8025,39558
